108.73,316.85
108.73,356.1
108.73,397.58
108.73,470.3
108.73,499.85
108.73,551.67
108.73,614.07
108.73,672.07
108.73,724.22
157.73,356.1
157.73,397.58
157.73,470.3
157.73,499.85
157.73,551.67
157.73,614.07
157.73,672.07
157.73,724.22
157.73,766.05
241.2,442.28
241.2,499.85
241.2,551.67
241.2,584.65
241.2,614.07
241.2,672.07
241.2,724.22
241.2,766.05
241.2,848.59
316.85,527.53
316.85,551.67
316.85,614.07
316.85,672.07
316.85,724.22
316.85,766.05
316.85,818.1
316.85,848.59
316.85,890.18
397.58,584.65
397.58,672.07
397.58,672.07
397.58,766.05
397.58,818.1
397.58,848.59
397.58,890.18
397.58,950.76
397.58,995.61
470.3,672.07
470.3,724.22
470.3,766.05
470.3,818.1
470.3,890.18
470.3,890.18
470.3,973.68
470.3,1024.92
470.3,1064.14
527.53,724.22
527.53,766.05
527.53,818.1
527.53,890.18
527.53,950.76
527.53,973.68
527.53,1024.92
527.53,1064.14
527.53,1146.55
584.65,766.05
584.65,848.59
584.65,890.18
584.65,950.76
584.65,986.44
584.65,1024.92
584.65,1091.65
584.65,1146.55
672.07,890.18
672.07,950.76
672.07,973.68
672.07,1024.92
672.07,1064.14
672.07,1146.55
766.05,973.68
766.05,1024.92
766.05,1064.14
766.05,1091.65
766.05,1146.55
848.59,1064.14
848.59,1091.65
848.59,1146.55
890.18,1091.65
890.18,1146.55
